week,time,mmwrWeek,siteID,amblyomma_americanum,tempMin,tempMax,tempMean
1,2014-08-31,36,OSBS,64,21.3674,35.5343,26.0453392857143
3,2014-09-14,38,OSBS,53.33333333,20.4858,34.3256,24.7513961309524
41,2015-06-07,23,OSBS,113.2307692,18.6565,35.9654,25.507175297619
44,2015-06-28,26,OSBS,40,20.7886,34.814,25.6464080357143
47,2015-07-19,29,OSBS,32.43243243,23.3548,35.2415,25.9378776175214
50,2015-08-09,32,OSBS,81.01265823,21.9003,33.4463,26.6152110119048
53,2015-08-30,35,OSBS,0,19.9331,30.9335,24.7298339285714
56,2015-09-20,38,OSBS,21.13207547,20,30,25.5714
60,2015-10-18,42,OSBS,0,14.5912,25.2221,19.0673208333333
80,2016-03-06,10,OSBS,70,6.3032,19.6495,13.33645
83,2016-03-27,13,OSBS,213.9817629,17.0473,32.7346,22.1631014880952
86,2016-04-17,16,OSBS,170,13,29,20.671428
89,2016-05-08,19,OSBS,116.0120846,13.7746,33.6399,23.710009239803
92,2016-05-29,22,OSBS,72.72727273,18.8833,36.2989,26.5239415676522
95,2016-06-19,25,OSBS,54.65838509,17.3531,36.4721,26.3915886904762
98,2016-07-10,28,OSBS,45,21.6385,37.0224,26.9622445970696
101,2016-07-31,31,OSBS,0,21.9237,35.2797,26.4886029761905
104,2016-08-21,34,OSBS,77.57575758,20.9218,36.3042,27.7982526785714
107,2016-09-11,37,OSBS,15,21.7511,34.7922,26.0769375
113,2016-10-23,43,OSBS,53.65853659,6.411,30.5334,18.6390705357143
116,2016-11-13,46,OSBS,14.41441441,5.9848,26.4161,14.9693678571429
138,2017-04-16,16,OSBS,201.2269939,13.7438,30.2522,23.4260875
141,2017-05-07,19,OSBS,176.744186,9.6562,33.5898,22.8702
144,2017-05-28,22,OSBS,130.994152,16.9258,36.3269,25.9224494047619
147,2017-06-18,25,OSBS,37.20930233,21.6825,34.8246,26.5785068452381
151,2017-07-16,29,OSBS,131.7647059,20.8314,34.4949,26.3107261904762
154,2017-08-06,32,OSBS,102.1276596,21.5286,35.9969,27.4807130952381
156,2017-08-20,34,OSBS,0,22.2372,35.8073,26.8716443452381
160,2017-09-17,38,OSBS,197.6470588,19.4627,33.6385,26.6032653346631
188,2018-04-01,14,OSBS,29.8136646,10.4588,30.1382,20.2532261904762
191,2018-04-22,17,OSBS,50,14.1008,28.077,21.2530294642857
195,2018-05-20,21,OSBS,15,19.8276,31.14,24.1056011904762
197,2018-06-03,23,OSBS,9.937888199,20.0281,32.8268,25.0766086309524
200,2018-06-24,26,OSBS,20,22.2316,34.0696,26.5549660714286
203,2018-07-15,29,OSBS,39.7515528,22.2024,31.9368,26.0413443452381
206,2018-08-05,32,OSBS,0,22.2529,34.2947,27.5086985119048
212,2018-09-16,38,OSBS,20,22.422,33.7533,27.4528773809524
237,2019-03-10,11,OSBS,10.81081081,13.7463,28.4399,20.8285514880952
243,2019-04-21,17,OSBS,10,12.2485,28.6019,23.242537797619
246,2019-05-12,20,OSBS,20,16.7997,31.2314,24.1185259751773
249,2019-06-02,23,OSBS,10,22.57,35.1394,27.2487979166667
252,2019-06-23,26,OSBS,60,22.1313,34.6421,28.0647735119048
255,2019-07-14,29,OSBS,10,21.8507,36.0914,27.3505547619048
258,2019-08-04,32,OSBS,60,23.2747,36.0637,27.6209684523809
261,2019-08-25,35,OSBS,29.44785276,22.4949,33.9953,26.6152083333333
264,2019-09-15,38,OSBS,170,18.7425,35.733,25.69281875
289,2020-03-08,11,OSBS,15,3.1953,31.2643,18.491030952381
304,2020-06-21,26,OSBS,30,19.8055,35.945,27.35846875
307,2020-07-12,29,OSBS,20,22.221,37.7711,28.0451306547619